time,addr,asn,length,frameType,slotOffset,frequency,l2Dest,txpower,numTxAttempts,L3Src,L3Dest,L4Proto,L4SrcPort,L4DestPort,succes_rx,succes_ack,list_rx
"2017-07-20 15:30:47,527",0003,72677,45,IEEE154_TYPE_BEACON,0,15,ffff92cc00000002,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000003,IANA_UNDEFINED,155,0,1,0,"['0009', '0008', '0004', '0002', '000f']"
"2017-07-20 15:30:47,689",0006,72699,45,IEEE154_TYPE_BEACON,0,13,ffff92cc00000004,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000003,IANA_UNDEFINED,155,0,1,0,"['0004', '000c', '000b']"
"2017-07-20 15:30:47,700",000f,72699,95,IEEE154_TYPE_DATA,0,13,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000f,IANA_ICMPv6,155,0,1,0,"['0009', '0005', '0003', '0008']"
"2017-07-20 15:30:47,784",000f,72710,45,IEEE154_TYPE_BEACON,0,25,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000f,IANA_UNDEFINED,155,0,1,0,"['0006', '0008', '0007', '0005', '0003']"
"2017-07-20 15:30:47,810",0001,72710,45,IEEE154_TYPE_BEACON,0,25,ffff92cc00000002,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,1,0,"['0009', '000c', '0002', '000b', '000d']"
"2017-07-20 15:30:47,963",0009,72732,45,IEEE154_TYPE_BEACON,0,24,ffff92cc00000001,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000f,IANA_UNDEFINED,155,0,1,0,"['0003', '000f', '0006']"
"2017-07-20 15:30:47,969",0007,72732,45,IEEE154_TYPE_BEACON,0,24,ffff92cc0000000f,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000005,IANA_UNDEFINED,155,0,1,0,"['0008', '0002', '0005', '0004', '000b', '000e', '000d']"
"2017-07-20 15:30:48,055",0008,72743,45,IEEE154_TYPE_BEACON,0,22,ffff92cc00000007,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000f,IANA_UNDEFINED,155,0,1,0,"['0005', '0003', '0004', '0007', '0006', '000f', '0002', '000e', '000d']"
"2017-07-20 15:30:48,079",000b,72743,45,IEEE154_TYPE_BEACON,0,22,ffff92cc00000007,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000003,IANA_UNDEFINED,155,0,1,0,['0001']
"2017-07-20 15:30:48,157",000c,72754,45,IEEE154_TYPE_BEACON,0,23,ffff92cc00000001,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000005,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:30:48,167",0005,72754,45,IEEE154_TYPE_BEACON,0,23,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000f,IANA_UNDEFINED,155,0,1,0,"['000f', '0006', '0002']"
