time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes,numAtt,state
"2017-08-23 16:37:23,675",5753,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,28,1,1,2
"2017-08-23 16:37:23,828",5764,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,5,11,7,12,,,29,1,0,1
"2017-08-23 16:37:23,842",5764,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,28,1,1,5
"2017-08-23 16:37:23,994",5775,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,29,1,1,2
"2017-08-23 16:37:24,137",5786,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,10,1,10,10,4,5,30,1,0,1
"2017-08-23 16:37:24,178",5786,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,29,1,1,5
"2017-08-23 16:37:24,360",5797,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:24,846",5830,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,30,1,2,2
"2017-08-23 16:37:25,029",5841,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,9,14,10,15,5,1,31,1,0,1
"2017-08-23 16:37:25,065",5841,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,30,1,1,5
"2017-08-23 16:37:25,261",5852,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
